index,precision,recall,f1-score,support,classifier,category
accuracy,0.75,0.75,0.75,0.75,MNB,classic target_min
macro avg,0.816927700122304,0.6798414560682464,0.7178421409321498,236.0,MNB,classic target_min
weighted avg,0.784263643536664,0.75,0.7417236855127978,236.0,MNB,classic target_min
advertisement,1.0,0.4,0.5714285714285715,5.0,SVC,classic target english
budget,0.75,0.375,0.5,8.0,SVC,classic target english
email,0.75,1.0,0.8571428571428571,3.0,SVC,classic target english
file folder,0.0,0.0,0.0,1.0,SVC,classic target english
form,0.5,0.2,0.2857142857142857,5.0,SVC,classic target english
handwritten,0.3333333333333333,0.2,0.25,5.0,SVC,classic target english
id piece,0.88,0.9565217391304348,0.9166666666666666,23.0,SVC,classic target english
invoice,0.8823529411764706,0.8333333333333334,0.8571428571428571,18.0,SVC,classic target english
letter,1.0,0.2,0.3333333333333333,10.0,SVC,classic target english
memo,0.3333333333333333,0.1666666666666666,0.2222222222222222,6.0,SVC,classic target english
news article,0.25,0.25,0.25,4.0,SVC,classic target english
passport,1.0,0.6923076923076923,0.8181818181818181,13.0,SVC,classic target english
pay,0.925,0.8222222222222222,0.8705882352941177,45.0,SVC,classic target english
postcard,0.417910447761194,0.9333333333333332,0.5773195876288659,30.0,SVC,classic target english
presentation,0.0,0.0,0.0,6.0,SVC,classic target english
questionnaire,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0,SVC,classic target english
residence proof,1.0,0.3333333333333333,0.5,9.0,SVC,classic target english
resume,0.8,1.0,0.888888888888889,4.0,SVC,classic target english
scientific publication,0.6,0.75,0.6666666666666665,4.0,SVC,classic target english
scientific report,0.5,0.75,0.6,4.0,SVC,classic target english
specification,1.0,0.5,0.6666666666666666,2.0,SVC,classic target english
accuracy,0.6777251184834123,0.6777251184834123,0.6777251184834123,0.6777251184834123,SVC,classic target english
macro avg,0.6470760343938571,0.5252088089044611,0.5380299677925945,211.0,SVC,classic target english
weighted avg,0.7407646115671987,0.6777251184834123,0.6629084914442405,211.0,SVC,classic target english
advertisement,1.0,0.4,0.5714285714285715,5.0,SVC,classic target english ros
budget,0.75,0.375,0.5,8.0,SVC,classic target english ros
email,0.75,1.0,0.8571428571428571,3.0,SVC,classic target english ros
file folder,0.0,0.0,0.0,1.0,SVC,classic target english ros
form,0.5,0.2,0.2857142857142857,5.0,SVC,classic target english ros
handwritten,0.25,0.2,0.2222222222222222,5.0,SVC,classic target english ros
id piece,0.88,0.9565217391304348,0.9166666666666666,23.0,SVC,classic target english ros
invoice,0.8823529411764706,0.8333333333333334,0.8571428571428571,18.0,SVC,classic target english ros
letter,1.0,0.2,0.3333333333333333,10.0,SVC,classic target english ros
memo,0.3333333333333333,0.1666666666666666,0.2222222222222222,6.0,SVC,classic target english ros
news article,0.25,0.25,0.25,4.0,SVC,classic target english ros
passport,1.0,0.6923076923076923,0.8181818181818181,13.0,SVC,classic target english ros
pay,0.925,0.8222222222222222,0.8705882352941177,45.0,SVC,classic target english ros
postcard,0.4242424242424242,0.9333333333333332,0.5833333333333333,30.0,SVC,classic target english ros
presentation,0.0,0.0,0.0,6.0,SVC,classic target english ros
questionnaire,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0,SVC,classic target english ros
residence proof,1.0,0.3333333333333333,0.5,9.0,SVC,classic target english ros
resume,0.8,1.0,0.888888888888889,4.0,SVC,classic target english ros
scientific publication,0.6,0.75,0.6666666666666665,4.0,SVC,classic target english ros
scientific report,0.5,0.75,0.6,4.0,SVC,classic target english ros
specification,1.0,0.5,0.6666666666666666,2.0,SVC,classic target english ros
accuracy,0.6777251184834123,0.6777251184834123,0.6777251184834123,0.6777251184834123,SVC,classic target english ros
macro avg,0.6434093031151855,0.5252088089044611,0.536993585312913,211.0,SVC,classic target english ros
weighted avg,0.7396901690447829,0.6777251184834123,0.6631052851989567,211.0,SVC,classic target english ros
advertisement,0.2,0.2,0.2,5.0,SVC,classic target french
budget,0.8,0.4,0.5333333333333333,10.0,SVC,classic target french
email,0.6,0.6,0.6,5.0,SVC,classic target french
form,0.0,0.0,0.0,2.0,SVC,classic target french
handwritten,0.5,0.1428571428571428,0.2222222222222222,7.0,SVC,classic target french
id piece,0.9130434782608696,0.9130434782608696,0.9130434782608696,23.0,SVC,classic target french
invoice,0.7,0.875,0.7777777777777777,16.0,SVC,classic target french
letter,0.6666666666666666,0.25,0.3636363636363636,8.0,SVC,classic target french
memo,1.0,0.5555555555555556,0.7142857142857143,9.0,SVC,classic target french
news article,0.4,0.5,0.4444444444444445,4.0,SVC,classic target french
passport,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0,SVC,classic target french
pay,0.9736842105263158,0.902439024390244,0.9367088607594938,41.0,SVC,classic target french
postcard,0.4259259259259259,0.7931034482758621,0.5542168674698795,29.0,SVC,classic target french
presentation,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0,SVC,classic target french
questionnaire,0.6,0.5,0.5454545454545454,6.0,SVC,classic target french
residence proof,1.0,0.5555555555555556,0.7142857142857143,9.0,SVC,classic target french
resume,0.75,0.6,0.6666666666666665,5.0,SVC,classic target french
scientific publication,0.5,0.4285714285714285,0.4615384615384615,7.0,SVC,classic target french
scientific report,0.4,0.3333333333333333,0.3636363636363636,6.0,SVC,classic target french
specification,0.75,0.75,0.75,4.0,SVC,classic target french
accuracy,0.6650943396226415,0.6650943396226415,0.6650943396226415,0.6650943396226415,SVC,classic target french
macro avg,0.6074508625538374,0.5252293585964097,0.5394514295774814,212.0,SVC,classic target french
weighted avg,0.7095705900447709,0.6650943396226415,0.6617453396718176,212.0,SVC,classic target french
advertisement,0.2,0.2,0.2,5.0,SVC,classic target french ros
budget,0.8,0.4,0.5333333333333333,10.0,SVC,classic target french ros
email,0.6,0.6,0.6,5.0,SVC,classic target french ros
file folder,0.0,0.0,0.0,0.0,SVC,classic target french ros
form,0.0,0.0,0.0,2.0,SVC,classic target french ros
handwritten,0.6666666666666666,0.2857142857142857,0.4,7.0,SVC,classic target french ros
id piece,0.9130434782608696,0.9130434782608696,0.9130434782608696,23.0,SVC,classic target french ros
invoice,0.7368421052631579,0.875,0.7999999999999999,16.0,SVC,classic target french ros
letter,0.6666666666666666,0.25,0.3636363636363636,8.0,SVC,classic target french ros
memo,1.0,0.5555555555555556,0.7142857142857143,9.0,SVC,classic target french ros
news article,0.4,0.5,0.4444444444444445,4.0,SVC,classic target french ros
passport,0.7,0.5384615384615384,0.608695652173913,13.0,SVC,classic target french ros
pay,0.9736842105263158,0.902439024390244,0.9367088607594938,41.0,SVC,classic target french ros
postcard,0.4230769230769231,0.3793103448275862,0.4,29.0,SVC,classic target french ros
presentation,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0,SVC,classic target french ros
questionnaire,0.6,0.5,0.5454545454545454,6.0,SVC,classic target french ros
residence proof,1.0,0.6666666666666666,0.8,9.0,SVC,classic target french ros
resume,0.75,0.6,0.6666666666666665,5.0,SVC,classic target french ros
scientific publication,0.5,0.4285714285714285,0.4615384615384615,7.0,SVC,classic target french ros
scientific report,0.4,0.3333333333333333,0.3636363636363636,6.0,SVC,classic target french ros
specification,0.75,0.75,0.75,4.0,SVC,classic target french ros
accuracy,0.6179245283018868,0.6179245283018868,0.6179245283018868,0.6179245283018868,SVC,classic target french ros
macro avg,0.5911101611330445,0.4926077296403892,0.5212327775540292,212.0,SVC,classic target french ros
weighted avg,0.7213667787029256,0.6179245283018868,0.6533908564629949,212.0,SVC,classic target french ros
advertisement,0.4285714285714285,0.75,0.5454545454545454,4.0,SVC,classic target
budget,0.25,0.2,0.2222222222222222,5.0,SVC,classic target
email,1.0,0.6666666666666666,0.8,6.0,SVC,classic target
form,0.75,0.6,0.6666666666666665,5.0,SVC,classic target
handwritten,0.2,0.125,0.1538461538461538,8.0,SVC,classic target
id piece,0.8571428571428571,0.8275862068965517,0.8421052631578947,29.0,SVC,classic target
invoice,0.7058823529411765,0.75,0.7272727272727272,16.0,SVC,classic target
letter,0.4,0.2222222222222222,0.2857142857142857,9.0,SVC,classic target
memo,0.5714285714285714,0.5,0.5333333333333333,8.0,SVC,classic target
news article,0.8,0.6666666666666666,0.7272727272727272,6.0,SVC,classic target
passport,0.9,0.5,0.6428571428571429,18.0,SVC,classic target
pay,0.975609756097561,0.8333333333333334,0.8988764044943819,48.0,SVC,classic target
postcard,0.4333333333333333,0.9285714285714286,0.5909090909090909,28.0,SVC,classic target
presentation,0.5,0.2,0.2857142857142857,5.0,SVC,classic target
questionnaire,1.0,0.8571428571428571,0.923076923076923,7.0,SVC,classic target
residence proof,0.875,0.7777777777777778,0.823529411764706,9.0,SVC,classic target
resume,0.8,1.0,0.888888888888889,4.0,SVC,classic target
scientific publication,0.8,0.8,0.8000000000000002,10.0,SVC,classic target
scientific report,0.5,0.4,0.4444444444444445,5.0,SVC,classic target
specification,1.0,0.6666666666666666,0.8,6.0,SVC,classic target
accuracy,0.6991525423728814,0.6991525423728814,0.6991525423728814,0.6991525423728814,SVC,classic target
macro avg,0.6873484149757465,0.6135816912972085,0.6301092258545211,236.0,SVC,classic target
weighted avg,0.7443837983725942,0.6991525423728814,0.6994016213266505,236.0,SVC,classic target
advertisement,0.4285714285714285,0.75,0.5454545454545454,4.0,SVC,classic target ros
budget,0.2,0.2,0.2,5.0,SVC,classic target ros
email,1.0,0.6666666666666666,0.8,6.0,SVC,classic target ros
file folder,0.0,0.0,0.0,0.0,SVC,classic target ros
form,0.75,0.6,0.6666666666666665,5.0,SVC,classic target ros
handwritten,0.2,0.125,0.1538461538461538,8.0,SVC,classic target ros
id piece,0.9230769230769232,0.8275862068965517,0.8727272727272727,29.0,SVC,classic target ros
invoice,0.6666666666666666,0.75,0.7058823529411765,16.0,SVC,classic target ros
letter,0.4,0.2222222222222222,0.2857142857142857,9.0,SVC,classic target ros
memo,0.5714285714285714,0.5,0.5333333333333333,8.0,SVC,classic target ros
news article,0.8,0.6666666666666666,0.7272727272727272,6.0,SVC,classic target ros
passport,0.9,0.5,0.6428571428571429,18.0,SVC,classic target ros
pay,0.975609756097561,0.8333333333333334,0.8988764044943819,48.0,SVC,classic target ros
postcard,0.4324324324324324,0.5714285714285714,0.4923076923076923,28.0,SVC,classic target ros
presentation,0.5,0.2,0.2857142857142857,5.0,SVC,classic target ros
questionnaire,1.0,0.8571428571428571,0.923076923076923,7.0,SVC,classic target ros
residence proof,0.75,0.6666666666666666,0.7058823529411765,9.0,SVC,classic target ros
resume,0.8,1.0,0.888888888888889,4.0,SVC,classic target ros
scientific publication,0.8,0.8,0.8000000000000002,10.0,SVC,classic target ros
scientific report,0.5,0.4,0.4444444444444445,5.0,SVC,classic target ros
specification,1.0,0.6666666666666666,0.8,6.0,SVC,classic target ros
accuracy,0.652542372881356,0.652542372881356,0.652542372881356,0.652542372881356,SVC,classic target ros
macro avg,0.6475136084892184,0.5620657075090572,0.5891878796514809,236.0,SVC,classic target ros
weighted avg,0.7438940174678083,0.652542372881356,0.6850584793217568,236.0,SVC,classic target ros
budget,1.0,0.25,0.4,8.0,SVC,classic target_min english
email,1.0,0.6666666666666666,0.8,3.0,SVC,classic target_min english
file folder,0.0,0.0,0.0,1.0,SVC,classic target_min english
id piece,0.88,0.9565217391304348,0.9166666666666666,23.0,SVC,classic target_min english
invoice,0.9375,0.8333333333333334,0.8823529411764706,18.0,SVC,classic target_min english
other_types,0.6410256410256411,0.6756756756756757,0.6578947368421052,37.0,SVC,classic target_min english
passport,1.0,0.6923076923076923,0.8181818181818181,13.0,SVC,classic target_min english
pay,0.9487179487179488,0.8222222222222222,0.8809523809523809,45.0,SVC,classic target_min english
postcard,0.5094339622641509,0.9,0.6506024096385542,30.0,SVC,classic target_min english
questionnaire,0.75,0.5,0.6,6.0,SVC,classic target_min english
residence proof,1.0,0.3333333333333333,0.5,9.0,SVC,classic target_min english
resume,0.8,1.0,0.888888888888889,4.0,SVC,classic target_min english
scientific_doc,0.4615384615384615,0.5,0.48,12.0,SVC,classic target_min english
specification,1.0,0.5,0.6666666666666666,2.0,SVC,classic target_min english
accuracy,0.7393364928909952,0.7393364928909952,0.7393364928909952,0.7393364928909952,SVC,classic target_min english
macro avg,0.780586858110443,0.6164329044763827,0.6530147506438251,211.0,SVC,classic target_min english
weighted avg,0.7916906958134714,0.7393364928909952,0.7367486895494502,211.0,SVC,classic target_min english
budget,0.6666666666666666,0.25,0.3636363636363636,8.0,SVC,classic target_min english ros
email,1.0,0.6666666666666666,0.8,3.0,SVC,classic target_min english ros
file folder,0.0,0.0,0.0,1.0,SVC,classic target_min english ros
id piece,0.88,0.9565217391304348,0.9166666666666666,23.0,SVC,classic target_min english ros
invoice,0.9375,0.8333333333333334,0.8823529411764706,18.0,SVC,classic target_min english ros
other_types,0.631578947368421,0.6486486486486487,0.64,37.0,SVC,classic target_min english ros
passport,1.0,0.6923076923076923,0.8181818181818181,13.0,SVC,classic target_min english ros
pay,0.9487179487179488,0.8222222222222222,0.8809523809523809,45.0,SVC,classic target_min english ros
postcard,0.5094339622641509,0.9,0.6506024096385542,30.0,SVC,classic target_min english ros
questionnaire,0.75,0.5,0.6,6.0,SVC,classic target_min english ros
residence proof,1.0,0.3333333333333333,0.5,9.0,SVC,classic target_min english ros
resume,0.8,1.0,0.888888888888889,4.0,SVC,classic target_min english ros
scientific_doc,0.4615384615384615,0.5,0.48,12.0,SVC,classic target_min english ros
specification,1.0,0.5,0.6666666666666666,2.0,SVC,classic target_min english ros
accuracy,0.7345971563981043,0.7345971563981043,0.7345971563981043,0.7345971563981043,SVC,classic target_min english ros
macro avg,0.7561025704682607,0.6145024025458808,0.6491391525577006,211.0,SVC,classic target_min english ros
weighted avg,0.7773959359462496,0.7345971563981043,0.7322320338429714,211.0,SVC,classic target_min english ros
budget,1.0,0.3,0.4615384615384615,10.0,SVC,classic target_min french
email,0.5,0.2,0.2857142857142857,5.0,SVC,classic target_min french
id piece,0.9130434782608696,0.9130434782608696,0.9130434782608696,23.0,SVC,classic target_min french
invoice,0.7,0.875,0.7777777777777777,16.0,SVC,classic target_min french
other_types,0.5277777777777778,0.5588235294117647,0.5428571428571428,34.0,SVC,classic target_min french
passport,0.7,0.5384615384615384,0.608695652173913,13.0,SVC,classic target_min french
pay,0.9736842105263158,0.902439024390244,0.9367088607594938,41.0,SVC,classic target_min french
postcard,0.5348837209302325,0.7931034482758621,0.6388888888888888,29.0,SVC,classic target_min french
questionnaire,0.75,0.5,0.6,6.0,SVC,classic target_min french
residence proof,1.0,0.5555555555555556,0.7142857142857143,9.0,SVC,classic target_min french
resume,0.75,0.6,0.6666666666666665,5.0,SVC,classic target_min french
scientific_doc,0.6,0.7058823529411765,0.6486486486486486,17.0,SVC,classic target_min french
specification,0.75,0.75,0.75,4.0,SVC,classic target_min french
accuracy,0.7122641509433962,0.7122641509433962,0.7122641509433962,0.7122641509433962,SVC,classic target_min french
macro avg,0.7461068605765534,0.6301776097920777,0.6572942751978357,212.0,SVC,classic target_min french
weighted avg,0.7435241744481137,0.7122641509433962,0.7083979230266652,212.0,SVC,classic target_min french
budget,1.0,0.3,0.4615384615384615,10.0,SVC,classic target_min french ros
email,0.5,0.2,0.2857142857142857,5.0,SVC,classic target_min french ros
file folder,0.0,0.0,0.0,0.0,SVC,classic target_min french ros
id piece,0.9130434782608696,0.9130434782608696,0.9130434782608696,23.0,SVC,classic target_min french ros
invoice,0.7368421052631579,0.875,0.7999999999999999,16.0,SVC,classic target_min french ros
other_types,0.5277777777777778,0.5588235294117647,0.5428571428571428,34.0,SVC,classic target_min french ros
passport,0.7,0.5384615384615384,0.608695652173913,13.0,SVC,classic target_min french ros
pay,0.9736842105263158,0.902439024390244,0.9367088607594938,41.0,SVC,classic target_min french ros
postcard,0.6666666666666666,0.3448275862068966,0.4545454545454545,29.0,SVC,classic target_min french ros
questionnaire,0.75,0.5,0.6,6.0,SVC,classic target_min french ros
residence proof,1.0,0.6666666666666666,0.8,9.0,SVC,classic target_min french ros
resume,0.75,0.6,0.6666666666666665,5.0,SVC,classic target_min french ros
scientific_doc,0.6,0.7058823529411765,0.6486486486486486,17.0,SVC,classic target_min french ros
specification,0.75,0.75,0.75,4.0,SVC,classic target_min french ros
accuracy,0.6556603773584906,0.6556603773584906,0.6556603773584906,0.6556603773584906,SVC,classic target_min french ros
macro avg,0.7048581598924849,0.5610817268813684,0.604887046511781,212.0,SVC,classic target_min french ros
weighted avg,0.7643316230828643,0.6556603773584906,0.6884970953428186,212.0,SVC,classic target_min french ros
budget,0.3333333333333333,0.2,0.25,5.0,SVC,classic target_min ros
email,1.0,0.5,0.6666666666666666,6.0,SVC,classic target_min ros
file folder,0.0,0.0,0.0,0.0,SVC,classic target_min ros
id piece,0.925925925925926,0.8620689655172413,0.8928571428571429,29.0,SVC,classic target_min ros
invoice,0.8571428571428571,0.75,0.7999999999999999,16.0,SVC,classic target_min ros
other_types,0.6590909090909091,0.7435897435897436,0.6987951807228915,39.0,SVC,classic target_min ros
passport,0.9,0.5,0.6428571428571429,18.0,SVC,classic target_min ros
pay,0.975609756097561,0.8333333333333334,0.8988764044943819,48.0,SVC,classic target_min ros
postcard,0.6153846153846154,0.5714285714285714,0.5925925925925927,28.0,SVC,classic target_min ros
questionnaire,1.0,0.8571428571428571,0.923076923076923,7.0,SVC,classic target_min ros
residence proof,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0,SVC,classic target_min ros
resume,1.0,1.0,1.0,4.0,SVC,classic target_min ros
scientific_doc,0.6818181818181818,0.7142857142857143,0.6976744186046512,21.0,SVC,classic target_min ros
specification,1.0,0.6666666666666666,0.8,6.0,SVC,classic target_min ros
accuracy,0.7245762711864406,0.7245762711864406,0.7245762711864406,0.7245762711864406,SVC,classic target_min ros
macro avg,0.7661488111836544,0.6411638306958503,0.6886553035464408,236.0,SVC,classic target_min ros
weighted avg,0.81574393656349,0.7245762711864406,0.7602485551823623,236.0,SVC,classic target_min ros
budget,0.5,0.2,0.2857142857142857,5.0,SVC,classic target_min
email,1.0,0.5,0.6666666666666666,6.0,SVC,classic target_min
id piece,0.8620689655172413,0.8620689655172413,0.8620689655172413,29.0,SVC,classic target_min
invoice,0.8571428571428571,0.75,0.7999999999999999,16.0,SVC,classic target_min
other_types,0.6444444444444445,0.7435897435897436,0.6904761904761906,39.0,SVC,classic target_min
passport,0.9,0.5,0.6428571428571429,18.0,SVC,classic target_min
pay,0.975609756097561,0.8333333333333334,0.8988764044943819,48.0,SVC,classic target_min
postcard,0.5416666666666666,0.9285714285714286,0.6842105263157894,28.0,SVC,classic target_min
questionnaire,1.0,0.8571428571428571,0.923076923076923,7.0,SVC,classic target_min
residence proof,0.875,0.7777777777777778,0.823529411764706,9.0,SVC,classic target_min
resume,1.0,1.0,1.0,4.0,SVC,classic target_min
scientific_doc,0.6818181818181818,0.7142857142857143,0.6976744186046512,21.0,SVC,classic target_min
specification,1.0,0.6666666666666666,0.8,6.0,SVC,classic target_min
accuracy,0.7669491525423728,0.7669491525423728,0.7669491525423728,0.7669491525423728,SVC,classic target_min
macro avg,0.8336731439759194,0.7179566528372893,0.7519346873452292,236.0,SVC,classic target_min
