index,precision,recall,f1-score,support,classifier,category
weighted avg,0.8039692195980951,0.7669491525423728,0.7684618624545014,236.0,SVC,classic target_min
budget,0.75,0.375,0.5,8.0,ResNet50,ComputerVision target_min
email,0.7,0.875,0.7777777777777777,8.0,ResNet50,ComputerVision target_min
file folder,0.8,1.0,0.888888888888889,4.0,ResNet50,ComputerVision target_min
id piece,0.96875,0.9117647058823528,0.9393939393939394,34.0,ResNet50,ComputerVision target_min
invoice,0.5238095238095238,0.7857142857142857,0.6285714285714286,14.0,ResNet50,ComputerVision target_min
other_types,0.6885245901639344,0.75,0.7179487179487181,56.0,ResNet50,ComputerVision target_min
passport,0.9090909090909092,0.9090909090909092,0.9090909090909092,22.0,ResNet50,ComputerVision target_min
pay,0.9361702127659576,0.9166666666666666,0.9263157894736844,48.0,ResNet50,ComputerVision target_min
postcard,0.8888888888888888,0.9230769230769232,0.9056603773584906,26.0,ResNet50,ComputerVision target_min
questionnaire,0.6666666666666666,0.2,0.3076923076923076,10.0,ResNet50,ComputerVision target_min
residence proof,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,ResNet50,ComputerVision target_min
resume,0.0,0.0,0.0,1.0,ResNet50,ComputerVision target_min
scientific_doc,0.4117647058823529,0.4666666666666667,0.4374999999999999,15.0,ResNet50,ComputerVision target_min
specification,0.5,0.1111111111111111,0.1818181818181818,9.0,ResNet50,ComputerVision target_min
accuracy,0.7709923664122137,0.7709923664122137,0.7709923664122137,0.7709923664122137,ResNet50,ComputerVision target_min
macro avg,0.685772025315078,0.6486595803822695,0.6412715125112273,262.0,ResNet50,ComputerVision target_min
weighted avg,0.7825138509973004,0.7709923664122137,0.7633908944337566,262.0,ResNet50,ComputerVision target_min
budget,0.25,0.125,0.1666666666666666,8.0,ResNet152,ComputerVision target_min
email,0.7777777777777778,0.875,0.823529411764706,8.0,ResNet152,ComputerVision target_min
file folder,0.5,0.75,0.6,4.0,ResNet152,ComputerVision target_min
id piece,0.8205128205128205,0.9411764705882352,0.8767123287671232,34.0,ResNet152,ComputerVision target_min
invoice,0.4285714285714285,0.6428571428571429,0.5142857142857143,14.0,ResNet152,ComputerVision target_min
other_types,0.6666666666666666,0.7857142857142857,0.721311475409836,56.0,ResNet152,ComputerVision target_min
passport,0.8947368421052632,0.7727272727272727,0.8292682926829269,22.0,ResNet152,ComputerVision target_min
pay,0.9111111111111112,0.8541666666666666,0.8817204301075269,48.0,ResNet152,ComputerVision target_min
postcard,0.8461538461538461,0.8461538461538461,0.8461538461538461,26.0,ResNet152,ComputerVision target_min
questionnaire,0.6666666666666666,0.2,0.3076923076923076,10.0,ResNet152,ComputerVision target_min
residence proof,0.6666666666666666,0.5714285714285714,0.6153846153846153,7.0,ResNet152,ComputerVision target_min
resume,0.0,0.0,0.0,1.0,ResNet152,ComputerVision target_min
scientific_doc,0.6363636363636364,0.4666666666666667,0.5384615384615385,15.0,ResNet152,ComputerVision target_min
specification,0.0,0.0,0.0,9.0,ResNet152,ComputerVision target_min
accuracy,0.7213740458015268,0.7213740458015268,0.7213740458015268,0.7213740458015268,ResNet152,ComputerVision target_min
macro avg,0.576087675899706,0.5593493516287634,0.5515133305269148,262.0,ResNet152,ComputerVision target_min
weighted avg,0.7166004701962917,0.7213740458015268,0.7089742441763669,262.0,ResNet152,ComputerVision target_min
budget,0.6666666666666666,0.75,0.7058823529411765,8.0,EfficientNetB2,ComputerVision target_min
email,0.7,0.875,0.7777777777777777,8.0,EfficientNetB2,ComputerVision target_min
file folder,0.6666666666666666,1.0,0.8,4.0,EfficientNetB2,ComputerVision target_min
id piece,0.8787878787878788,0.8529411764705882,0.8656716417910447,34.0,EfficientNetB2,ComputerVision target_min
invoice,0.45,0.6428571428571429,0.5294117647058824,14.0,EfficientNetB2,ComputerVision target_min
other_types,0.6379310344827587,0.6607142857142857,0.6491228070175439,56.0,EfficientNetB2,ComputerVision target_min
passport,0.7894736842105263,0.6818181818181818,0.7317073170731707,22.0,EfficientNetB2,ComputerVision target_min
pay,0.9534883720930232,0.8541666666666666,0.9010989010989012,48.0,EfficientNetB2,ComputerVision target_min
postcard,0.78125,0.9615384615384616,0.8620689655172413,26.0,EfficientNetB2,ComputerVision target_min
questionnaire,0.4,0.2,0.2666666666666666,10.0,EfficientNetB2,ComputerVision target_min
residence proof,0.8333333333333334,0.7142857142857143,0.7692307692307692,7.0,EfficientNetB2,ComputerVision target_min
resume,0.0,0.0,0.0,1.0,EfficientNetB2,ComputerVision target_min
scientific_doc,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0,EfficientNetB2,ComputerVision target_min
specification,0.3333333333333333,0.1111111111111111,0.1666666666666666,9.0,EfficientNetB2,ComputerVision target_min
accuracy,0.7213740458015268,0.7213740458015268,0.7213740458015268,0.7213740458015268,EfficientNetB2,ComputerVision target_min
macro avg,0.6160188787791087,0.6312690052711061,0.6113313545585839,262.0,EfficientNetB2,ComputerVision target_min
weighted avg,0.7243687864742459,0.7213740458015268,0.7159547410251883,262.0,EfficientNetB2,ComputerVision target_min
budget,1.0,0.5,0.6666666666666666,8.0,EfficientNetB1,ComputerVision target_min
email,0.5833333333333334,0.875,0.7000000000000001,8.0,EfficientNetB1,ComputerVision target_min
file folder,0.6666666666666666,1.0,0.8,4.0,EfficientNetB1,ComputerVision target_min
id piece,0.9285714285714286,0.7647058823529411,0.8387096774193549,34.0,EfficientNetB1,ComputerVision target_min
invoice,0.5882352941176471,0.7142857142857143,0.6451612903225806,14.0,EfficientNetB1,ComputerVision target_min
other_types,0.7068965517241379,0.7321428571428571,0.719298245614035,56.0,EfficientNetB1,ComputerVision target_min
passport,0.7272727272727273,0.7272727272727273,0.7272727272727273,22.0,EfficientNetB1,ComputerVision target_min
pay,0.9583333333333334,0.9583333333333334,0.9583333333333334,48.0,EfficientNetB1,ComputerVision target_min
postcard,0.8064516129032258,0.9615384615384616,0.8771929824561403,26.0,EfficientNetB1,ComputerVision target_min
questionnaire,0.1428571428571428,0.1,0.1176470588235294,10.0,EfficientNetB1,ComputerVision target_min
residence proof,0.8333333333333334,0.7142857142857143,0.7692307692307692,7.0,EfficientNetB1,ComputerVision target_min
resume,0.0,0.0,0.0,1.0,EfficientNetB1,ComputerVision target_min
scientific_doc,0.6153846153846154,0.5333333333333333,0.5714285714285715,15.0,EfficientNetB1,ComputerVision target_min
specification,0.2,0.1111111111111111,0.1428571428571428,9.0,EfficientNetB1,ComputerVision target_min
accuracy,0.7404580152671756,0.7404580152671756,0.7404580152671756,0.7404580152671756,EfficientNetB1,ComputerVision target_min
macro avg,0.6255240028212565,0.6208577953325852,0.6095570332446322,262.0,EfficientNetB1,ComputerVision target_min
weighted avg,0.7480407589584678,0.7404580152671756,0.7373575135814758,262.0,EfficientNetB1,ComputerVision target_min
budget,0.5,0.625,0.5555555555555556,8.0,EfficientNetB0,ComputerVision target_min
email,0.6363636363636364,0.875,0.7368421052631579,8.0,EfficientNetB0,ComputerVision target_min
file folder,0.6666666666666666,1.0,0.8,4.0,EfficientNetB0,ComputerVision target_min
id piece,0.9090909090909092,0.8823529411764706,0.8955223880597014,34.0,EfficientNetB0,ComputerVision target_min
invoice,0.5,0.6428571428571429,0.5625000000000001,14.0,EfficientNetB0,ComputerVision target_min
other_types,0.6349206349206349,0.7142857142857143,0.6722689075630252,56.0,EfficientNetB0,ComputerVision target_min
passport,0.7894736842105263,0.6818181818181818,0.7317073170731707,22.0,EfficientNetB0,ComputerVision target_min
pay,0.9166666666666666,0.9166666666666666,0.9166666666666666,48.0,EfficientNetB0,ComputerVision target_min
postcard,0.71875,0.8846153846153846,0.7931034482758621,26.0,EfficientNetB0,ComputerVision target_min
questionnaire,0.4,0.2,0.2666666666666666,10.0,EfficientNetB0,ComputerVision target_min
residence proof,0.5,0.1428571428571428,0.2222222222222222,7.0,EfficientNetB0,ComputerVision target_min
resume,0.0,0.0,0.0,1.0,EfficientNetB0,ComputerVision target_min
scientific_doc,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0,EfficientNetB0,ComputerVision target_min
specification,0.0,0.0,0.0,9.0,EfficientNetB0,ComputerVision target_min
accuracy,0.7175572519083969,0.7175572519083969,0.7175572519083969,0.7175572519083969,EfficientNetB0,ComputerVision target_min
macro avg,0.5503761093751696,0.5784847505435742,0.5490277579056687,262.0,EfficientNetB0,ComputerVision target_min
weighted avg,0.6899929132628008,0.7175572519083969,0.6963720387676082,262.0,EfficientNetB0,ComputerVision target_min
budget,0.625,0.625,0.625,8.0,EfficientNetB0 AugmentedData,ComputerVision target_min
email,0.5833333333333334,0.875,0.7000000000000001,8.0,EfficientNetB0 AugmentedData,ComputerVision target_min
file folder,0.6666666666666666,1.0,0.8,4.0,EfficientNetB0 AugmentedData,ComputerVision target_min
id piece,0.967741935483871,0.8823529411764706,0.923076923076923,34.0,EfficientNetB0 AugmentedData,ComputerVision target_min
invoice,0.5714285714285714,0.5714285714285714,0.5714285714285714,14.0,EfficientNetB0 AugmentedData,ComputerVision target_min
other_types,0.7272727272727273,0.7142857142857143,0.7207207207207208,56.0,EfficientNetB0 AugmentedData,ComputerVision target_min
passport,0.8181818181818182,0.8181818181818182,0.8181818181818182,22.0,EfficientNetB0 AugmentedData,ComputerVision target_min
pay,0.9,0.9375,0.9183673469387756,48.0,EfficientNetB0 AugmentedData,ComputerVision target_min
postcard,0.7857142857142857,0.8461538461538461,0.8148148148148148,26.0,EfficientNetB0 AugmentedData,ComputerVision target_min
questionnaire,1.0,0.2,0.3333333333333333,10.0,EfficientNetB0 AugmentedData,ComputerVision target_min
residence proof,0.6666666666666666,0.5714285714285714,0.6153846153846153,7.0,EfficientNetB0 AugmentedData,ComputerVision target_min
resume,0.0,0.0,0.0,1.0,EfficientNetB0 AugmentedData,ComputerVision target_min
scientific_doc,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0,EfficientNetB0 AugmentedData,ComputerVision target_min
specification,0.3333333333333333,0.2222222222222222,0.2666666666666666,9.0,EfficientNetB0 AugmentedData,ComputerVision target_min
accuracy,0.7442748091603053,0.7442748091603053,0.7442748091603053,0.7442748091603053,EfficientNetB0 AugmentedData,ComputerVision target_min
macro avg,0.6556194765296148,0.6283490727293247,0.6171648674199696,262.0,EfficientNetB0 AugmentedData,ComputerVision target_min
weighted avg,0.7681643891690678,0.7442748091603053,0.7437130504742284,262.0,EfficientNetB0 AugmentedData,ComputerVision target_min
budget,0.6666666666666666,0.5,0.5714285714285715,8.0,ResNet50 AugmentedData,ComputerVision target_min
email,0.7272727272727273,1.0,0.8421052631578948,8.0,ResNet50 AugmentedData,ComputerVision target_min
file folder,0.5714285714285714,1.0,0.7272727272727273,4.0,ResNet50 AugmentedData,ComputerVision target_min
id piece,0.8857142857142857,0.9117647058823528,0.8985507246376812,34.0,ResNet50 AugmentedData,ComputerVision target_min
invoice,0.45,0.6428571428571429,0.5294117647058824,14.0,ResNet50 AugmentedData,ComputerVision target_min
other_types,0.7307692307692307,0.6785714285714286,0.7037037037037038,56.0,ResNet50 AugmentedData,ComputerVision target_min
passport,0.9047619047619048,0.8636363636363636,0.8837209302325582,22.0,ResNet50 AugmentedData,ComputerVision target_min
pay,0.9069767441860463,0.8125,0.8571428571428572,48.0,ResNet50 AugmentedData,ComputerVision target_min
postcard,0.8888888888888888,0.9230769230769232,0.9056603773584906,26.0,ResNet50 AugmentedData,ComputerVision target_min
questionnaire,0.6,0.3,0.4,10.0,ResNet50 AugmentedData,ComputerVision target_min
residence proof,0.7777777777777778,1.0,0.8750000000000001,7.0,ResNet50 AugmentedData,ComputerVision target_min
resume,0.1666666666666666,1.0,0.2857142857142857,1.0,ResNet50 AugmentedData,ComputerVision target_min
scientific_doc,0.5,0.5333333333333333,0.5161290322580646,15.0,ResNet50 AugmentedData,ComputerVision target_min
specification,0.25,0.1111111111111111,0.1538461538461538,9.0,ResNet50 AugmentedData,ComputerVision target_min
accuracy,0.7480916030534351,0.7480916030534351,0.7480916030534351,0.7480916030534351,ResNet50 AugmentedData,ComputerVision target_min
macro avg,0.6447802474380547,0.7340607863191897,0.653549027961348,262.0,ResNet50 AugmentedData,ComputerVision target_min
weighted avg,0.7583452668797955,0.7480916030534351,0.7452534767566732,262.0,ResNet50 AugmentedData,ComputerVision target_min
advertisement,0.8888888888888888,0.8,0.8421052631578948,10.0,ResNet50 AugmentedData,ComputerVision target_limited
carte postale,0.8571428571428571,0.9230769230769232,0.888888888888889,26.0,ResNet50 AugmentedData,ComputerVision target_limited
handwritten,1.0,0.5555555555555556,0.7142857142857143,9.0,ResNet50 AugmentedData,ComputerVision target_limited
id_pieces,0.9393939393939394,0.9117647058823528,0.9253731343283584,34.0,ResNet50 AugmentedData,ComputerVision target_limited
passeport,0.85,0.7727272727272727,0.8095238095238095,22.0,ResNet50 AugmentedData,ComputerVision target_limited
paye,0.9166666666666666,0.9166666666666666,0.9166666666666666,48.0,ResNet50 AugmentedData,ComputerVision target_limited
text,0.9243697478991596,0.9734513274336284,0.9482758620689656,113.0,ResNet50 AugmentedData,ComputerVision target_limited
accuracy,0.9122137404580152,0.9122137404580152,0.9122137404580152,0.9122137404580152,ResNet50 AugmentedData,ComputerVision target_limited
macro avg,0.9109231571416446,0.8361774930489142,0.863588476988614,262.0,ResNet50 AugmentedData,ComputerVision target_limited
weighted avg,0.913235796284741,0.9122137404580152,0.9098783128310788,262.0,ResNet50 AugmentedData,ComputerVision target_limited
budget,0.3333333333333333,0.25,0.2857142857142857,8.0,VGG16,ComputerVision target_min
email,0.5454545454545454,0.75,0.631578947368421,8.0,VGG16,ComputerVision target_min
file folder,0.6666666666666666,1.0,0.8,4.0,VGG16,ComputerVision target_min
id piece,0.8378378378378378,0.9117647058823528,0.8732394366197184,34.0,VGG16,ComputerVision target_min
invoice,0.3636363636363636,0.5714285714285714,0.4444444444444444,14.0,VGG16,ComputerVision target_min
other_types,0.6851851851851852,0.6607142857142857,0.6727272727272727,56.0,VGG16,ComputerVision target_min
passport,0.9375,0.6818181818181818,0.7894736842105263,22.0,VGG16,ComputerVision target_min
pay,0.8695652173913043,0.8333333333333334,0.851063829787234,48.0,VGG16,ComputerVision target_min
postcard,0.7272727272727273,0.9230769230769232,0.8135593220338984,26.0,VGG16,ComputerVision target_min
questionnaire,0.5,0.1,0.1666666666666666,10.0,VGG16,ComputerVision target_min
residence proof,0.8333333333333334,0.7142857142857143,0.7692307692307692,7.0,VGG16,ComputerVision target_min
resume,0.0,0.0,0.0,1.0,VGG16,ComputerVision target_min
scientific_doc,0.4444444444444444,0.5333333333333333,0.4848484848484848,15.0,VGG16,ComputerVision target_min
specification,0.2,0.1111111111111111,0.1428571428571428,9.0,VGG16,ComputerVision target_min
accuracy,0.6946564885496184,0.6946564885496184,0.6946564885496184,0.6946564885496184,VGG16,ComputerVision target_min
macro avg,0.5674449753254102,0.5743475828559862,0.5518145918934904,262.0,VGG16,ComputerVision target_min
weighted avg,0.6954883854527069,0.6946564885496184,0.6836075842355165,262.0,VGG16,ComputerVision target_min
budget,0.75,0.375,0.5,8.0,VGG19,ComputerVision target_min
email,0.7777777777777778,0.875,0.823529411764706,8.0,VGG19,ComputerVision target_min
file folder,0.6666666666666666,1.0,0.8,4.0,VGG19,ComputerVision target_min
id piece,0.9,0.7941176470588235,0.84375,34.0,VGG19,ComputerVision target_min
invoice,0.4736842105263157,0.6428571428571429,0.5454545454545454,14.0,VGG19,ComputerVision target_min
other_types,0.6428571428571429,0.6428571428571429,0.6428571428571429,56.0,VGG19,ComputerVision target_min
passport,0.6956521739130435,0.7272727272727273,0.711111111111111,22.0,VGG19,ComputerVision target_min
pay,0.8666666666666667,0.8125,0.8387096774193549,48.0,VGG19,ComputerVision target_min
postcard,0.6857142857142857,0.9230769230769232,0.7868852459016394,26.0,VGG19,ComputerVision target_min
questionnaire,0.25,0.1,0.1428571428571428,10.0,VGG19,ComputerVision target_min
residence proof,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0,VGG19,ComputerVision target_min
resume,0.1666666666666666,1.0,0.2857142857142857,1.0,VGG19,ComputerVision target_min
scientific_doc,0.375,0.4,0.3870967741935484,15.0,VGG19,ComputerVision target_min
specification,0.5,0.1111111111111111,0.1818181818181818,9.0,VGG19,ComputerVision target_min
accuracy,0.683206106870229,0.683206106870229,0.683206106870229,0.683206106870229,VGG19,ComputerVision target_min
macro avg,0.6046408075053057,0.6512913148942561,0.5860049452412409,262.0,VGG19,ComputerVision target_min
weighted avg,0.6894849380060394,0.683206106870229,0.6741630734658394,262.0,VGG19,ComputerVision target_min
advertisement,0.875,0.7,0.7777777777777777,10.0,ResNet50 AugmentedData,ComputerVision target_limited_corr
carte postale,0.8947368421052632,0.918918918918919,0.9066666666666668,37.0,ResNet50 AugmentedData,ComputerVision target_limited_corr
handwritten,0.75,0.6,0.6666666666666665,5.0,ResNet50 AugmentedData,ComputerVision target_limited_corr
id_pieces,1.0,0.925925925925926,0.9615384615384616,27.0,ResNet50 AugmentedData,ComputerVision target_limited_corr
passeport,0.8636363636363636,0.8636363636363636,0.8636363636363636,22.0,ResNet50 AugmentedData,ComputerVision target_limited_corr
paye,0.9361702127659576,0.8979591836734694,0.9166666666666666,49.0,ResNet50 AugmentedData,ComputerVision target_limited_corr
text,0.9035087719298246,0.9537037037037036,0.927927927927928,108.0,ResNet50 AugmentedData,ComputerVision target_limited_corr
accuracy,0.9108527131782944,0.9108527131782944,0.9108527131782944,0.9108527131782944,ResNet50 AugmentedData,ComputerVision target_limited_corr
macro avg,0.8890074557767728,0.8371634422654832,0.86012579012579,258.0,ResNet50 AugmentedData,ComputerVision target_limited_corr
weighted avg,0.9110719029141384,0.9108527131782944,0.9098922446596864,258.0,ResNet50 AugmentedData,ComputerVision target_limited_corr
budget,0.5,0.2222222222222222,0.30769230769230765,9.0,ResNet50 AugmentedData,ComputerVision target_min_corr
email,0.7142857142857143,0.625,0.6666666666666666,8.0,ResNet50 AugmentedData,ComputerVision target_min_corr
file folder,0.6666666666666666,0.5714285714285714,0.6153846153846153,7.0,ResNet50 AugmentedData,ComputerVision target_min_corr
id piece,1.0,0.9259259259259259,0.9615384615384615,27.0,ResNet50 AugmentedData,ComputerVision target_min_corr
invoice,0.375,0.42857142857142855,0.39999999999999997,14.0,ResNet50 AugmentedData,ComputerVision target_min_corr
other_types,0.5652173913043478,0.65,0.6046511627906976,40.0,ResNet50 AugmentedData,ComputerVision target_min_corr
passport,0.875,0.9545454545454546,0.9130434782608695,22.0,ResNet50 AugmentedData,ComputerVision target_min_corr
pay,0.8979591836734694,0.8979591836734694,0.8979591836734694,49.0,ResNet50 AugmentedData,ComputerVision target_min_corr
postcard,0.9714285714285714,0.918918918918919,0.9444444444444445,37.0,ResNet50 AugmentedData,ComputerVision target_min_corr
questionnaire,0.0,0.0,0.0,2.0,ResNet50 AugmentedData,ComputerVision target_min_corr
residence proof,0.75,0.6666666666666666,0.7058823529411765,9.0,ResNet50 AugmentedData,ComputerVision target_min_corr
resume,1.0,0.5,0.6666666666666666,4.0,ResNet50 AugmentedData,ComputerVision target_min_corr
scientific_doc,0.48148148148148145,0.65,0.553191489361702,20.0,ResNet50 AugmentedData,ComputerVision target_min_corr
specification,0.75,0.3,0.4285714285714285,10.0,ResNet50 AugmentedData,ComputerVision target_min_corr
accuracy,0.7403100775193798,0.7403100775193798,0.7403100775193798,0.7403100775193798,ResNet50 AugmentedData,ComputerVision target_min_corr
macro avg,0.6819313577743037,0.5936598837109042,0.6189780184280361,258.0,ResNet50 AugmentedData,ComputerVision target_min_corr
weighted avg,0.7628377318047017,0.7403100775193798,0.7424743963786508,258.0,ResNet50 AugmentedData,ComputerVision target_min_corr
